shmoocon,1674230400,1674417600
0,HAM_DIGITAL_4,challenges/shmoocon2023/hellx5.wav,usb,48000,,60,90,147105,,
1,HAM_DIGITAL_6,challenges/shmoocon2023/mfsk11.wav,nbfm,48000,,60,90,433925,,
2,HAM_DIGITAL_8,challenges/shmoocon2023/olivia8-125.wav,nbfm,48000,,60,90,ham_900,,
3,HAM_DIGITAL_10,challenges/shmoocon2023/qpsk125.wav,usb,48000,,60,90,145650,,
4,HAM_DIGITAL_18,challenges/shmoocon2023/ofdm500f.wav,usb,48000,,60,90,ham_144,,
5,HAM_DIGITAL_12,challenges/shmoocon2023/psk250r.wav,usb,48000,,60,90,442650,,
6,HAM_MORSE_1,BALTIMORE WASHINGTON TELEGRAPH LINE,cw,35,,60,90,ham_900,,
7,HAM_MORSE_2,EIGHT MULES AND A PLOW,cw,45,,60,90,ham_440,,
8,HAM_MORSE_3,TWO SIXTEEN GAUGE WIRES ABOVE GROUND,cw,55,,60,90,905750,,
9,HAM_MORSE_4,THAT SAMUEL GUY IS FEATURED IN OTHER CHALLENGES,cw,65,,60,90,ham_144,,
11,SDR_ASK_1,US Postmaster General Cave Johnson,ask,,,60,90,ham_440,,
12,SDR_ASK_2,901 West Pratt Street,ask,,,60,90,ham_144,,
13,SDR_ASK_3,Corner of Camden Street and Eutaw Street,ask,,,60,90,448950,,
14,SDR_ASK_4,Morse Henry and Vail created a telegraph system,ask,,,60,90,ham_900,,
16,POCSAG_RX,All aboard the Baltimore and Ohio Railroad,pocsag,183052,,60,90,444500,,
17,LRS_RX,-s 250 -p 177 -pf 1,,,60,90,467750,,
18,POCSAG_TX,Transmit your team name via 512bps POCSAG to 433.5MHz capcode 1234567 for more points.,pocsag,301946,,120,180,444500,,
